hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
MEPET;izle;;29,6;11,0;12,8;5,7;6;0;zayif;12,1;41,1;56,3;yukari;zayif;zayif;asagi;1,04;-1,60;3;18,98;-4,86;5352075;17,93;AL;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;SAT;NOTR;1;01.09.2026
CASA;izle;;29,5;0,9;18,2;10,4;6;0;zayif;18,4;51,9;36,7;asagi;zayif;zayif;asagi;0,57;-1,15;3;70,9;4,19;596624;72,08;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;UCUZ (AL);5;01.09.2026
SRVGY;izle;;29,4;4,7;16,8;8,0;0;0;zayif;24,0;47,3;70,5;asagi;zayif;zayif;asagi;0,34;-1,48;2;2,54;0,00;18240985;2,61;AL;NEGATIF;AL;POZITIF;AZALIYOR;SAT;SAT;UCUZ (AL);3;01.09.2026
TSKB;izle;;29,3;0,2;17,2;11,8;6;0;zayif;13,7;46,9;49,7;asagi;zayif;zayif;asagi;0,58;-1,10;3;11,02;0,82;92257633;11,64;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
SASA;izle;;28,8;0,3;18,0;10,5;0;0;zayif;14,0;48,1;53,2;asagi;zayif;zayif;asagi;0,47;-0,89;0;2,38;1,28;2810103059;2,59;AL;NEGATIF;NOTR;POZITIF;AZALIYOR;AL;AL;NOTR;4;01.09.2026
EUREN;izle;;28,7;1,2;17,0;10,5;0;0;zayif;15,0;50,0;69,7;asagi;zayif;zayif;asagi;0,76;-1,23;1;3,95;1,02;77216859;4,10;AL;NEGATIF;NOTR;POZITIF;ARTIYOR;AL;SAT;UCUZ (AL);3;01.09.2026
CUSAN;izle;;28,5;4,8;15,7;8,0;6;0;zayif;23,3;46,1;15,5;asagi;zayif;zayif;asagi;0,11;-0,51;3;24,06;0,25;7406919;27,45;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;AL;NOTR;2;01.09.2026
ZOREN;izle;;28,3;7,0;13,3;8,0;0;0;zayif;35,6;42,6;72,2;asagi;zayif;zayif;asagi;0,60;-2,37;0;2,32;0,00;51269207;2,42;AL;NEGATIF;AL;POZITIF;ARTIYOR;AL;SAT;UCUZ (AL);4;01.09.2026
BASGZ;izle;;28,2;8,4;18,1;1,7;22;2;zayif;22,5;48,2;51,4;asagi;zayif;zayif;asagi;0,16;-0,92;2;44,38;0,00;2587398;46,46;AL;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;2;01.09.2026
BAYRK;izle;;28,0;11,6;8,5;8,0;32;3;zayif;21,2;43,1;58,0;yukari;zayif;zayif;asagi;0,13;-1,36;1;4,25;0,00;5894342;4,25;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;UCUZ (AL);1;01.09.2026
