sira;hisse;karar;yildiz;skor;risk;guclu_yonler;dikkat;fiyat;stop_seviyesi;bugun_yeni;tarih
385;BASGZ;İZLE;*;27;düşük (0);-;hacim zayıf;44,2;46,46;;27.08.2026
386;DITAS;İZLE;*;27;düşük (0);-;hacim zayıf;25,54;29,20;;27.08.2026
387;CGCAM;İZLE;*;26;düşük (0);-;Supertrend aşağı;37,08;40,46;;27.08.2026
388;MAGEN;İZLE;*;26;düşük (0);-;Supertrend aşağı;33,52;37,68;;27.08.2026
389;TEKTU;İZLE;*;26;düşük (0);-;hacim zayıf;7,93;8,40;;27.08.2026
390;GENTS;İZLE;*;26;düşük (0);-;Supertrend aşağı;5,3;5,67;;27.08.2026
391;BEYAZ;İZLE;*;26;orta (22);-;uyumsuzluk 2/5, hacim zayıf;23,2;22,77;;27.08.2026
392;GRNYO;İZLE;*;26;düşük (10);-;dağıtım 4 gün;13,7;13,21;;27.08.2026
393;CEMTS;İZLE;*;26;yüksek (46);-;uyumsuzluk 3/5, dağıtım 3 gün, momentum sönümü;8,92;9,43;;27.08.2026
394;INGRM;İZLE;*;26;düşük (14);-;dağıtım 3 gün, momentum sönümü;393,25;411,43;;27.08.2026
395;SANEL;İZLE;*;26;düşük (10);-;dağıtım 4 gün;56,15;70,71;;27.08.2026
396;CONSE;İZLE;*;25;düşük (6);-;dağıtım 3 gün;2,28;2,44;;27.08.2026
397;NTHOL;İZLE;*;25;orta (40);-;uyumsuzluk 5/5, hacim zayıf;43,3;46,99;;27.08.2026
398;BURCE;İZLE;*;25;orta (22);-;uyumsuzluk 2/5;36,08;40,29;;27.08.2026
399;DZGYO;İZLE;*;25;düşük (0);-;hacim zayıf;7,29;7,60;;27.08.2026
400;YAPRK;İZLE;*;25;düşük (0);-;Supertrend aşağı;11,16;12,40;;27.08.2026
401;MRSHL;İZLE;*;25;düşük (6);-;dağıtım 3 gün, hacim zayıf;1630;1560,78;;27.08.2026
402;HTTBT;İZLE;*;25;düşük (6);-;dağıtım 3 gün;36,9;39,24;;27.08.2026
403;TTKOM;İZLE;*;25;düşük (0);-;skor düşük;53,45;50,42;;27.08.2026
404;ISSEN;İZLE;*;25;düşük (0);-;hacim zayıf;6,96;7,43;;27.08.2026
405;SERNT;İZLE;*;25;düşük (0);-;hacim zayıf;7,95;8,46;;27.08.2026
406;TURGG;İZLE;*;25;orta (22);-;uyumsuzluk 2/5, hacim zayıf;27,08;28,01;;27.08.2026
407;POLTK;İZLE;*;25;düşük (0);-;Supertrend aşağı;4305;4918,19;;27.08.2026
408;VAKFN;İZLE;*;25;düşük (0);-;hacim zayıf;1,19;1,26;;27.08.2026
409;YYAPI;İZLE;*;24;düşük (0);-;Supertrend aşağı;0,82;0,86;;27.08.2026
410;GEDIK;İZLE;*;24;düşük (0);-;hacim zayıf;6,24;7,05;;27.08.2026
411;IHGZT;İZLE;*;24;düşük (0);-;hacim zayıf;1,19;1,26;;27.08.2026
412;GRSEL;İZLE;*;24;düşük (0);-;hacim zayıf;315,5;346,63;;27.08.2026
413;SMRTG;İZLE;*;24;düşük (0);-;Supertrend aşağı;10,06;11,24;;27.08.2026
414;YAYLA;İZLE;*;24;orta (38);-;uyumsuzluk 3/5, dağıtım 3 gün, hacim zayıf;21,8;20,81;;27.08.2026
415;EUREN;İZLE;*;24;düşük (0);-;hacim zayıf;3,9;4,10;;27.08.2026
416;A1CAP;İZLE;*;24;düşük (0);-;Supertrend aşağı;8,4;8,98;;27.08.2026
417;NUGYO;İZLE;*;24;düşük (0);-;Supertrend aşağı;9,11;9,70;;27.08.2026
418;LIDFA;İZLE;*;24;düşük (0);-;Supertrend aşağı;2,73;2,93;;27.08.2026
419;UNLU;İZLE;*;24;düşük (0);-;hacim zayıf;11,08;11,69;;27.08.2026
420;MNDTR;İZLE;*;24;düşük (10);-;dağıtım 4 gün;4,98;5,37;;27.08.2026
421;ASUZU;İZLE;*;24;düşük (0);-;hacim zayıf;49,06;50,78;;27.08.2026
422;RAYSG;İZLE;*;24;düşük (0);-;hacim zayıf;160,5;172,80;;27.08.2026
423;PKENT;İZLE;*;24;düşük (0);-;hacim zayıf;126,1;136,60;;27.08.2026
424;IHLGM;İZLE;*;24;düşük (0);-;hacim zayıf;1,58;1,69;;27.08.2026
425;IZINV;İZLE;*;23;düşük (0);-;Supertrend aşağı;54,25;60,53;;27.08.2026
426;ANGEN;İZLE;*;23;düşük (0);-;hacim zayıf;9,24;9,72;;27.08.2026
427;EGEEN;İZLE;*;23;düşük (8);-;momentum sönümü, hacim zayıf;5125;5506,98;;27.08.2026
428;KARSN;İZLE;*;23;düşük (6);-;dağıtım 3 gün;9,27;10,15;;27.08.2026
429;KUYAS;İZLE;*;23;düşük (0);-;hacim zayıf;63;72,64;;27.08.2026
430;DURDO;İZLE;*;22;düşük (0);-;hacim zayıf;4,83;5,27;;27.08.2026
431;SUWEN;İZLE;*;22;düşük (0);-;hacim zayıf;6,37;7,29;;27.08.2026
432;PARSN;İZLE;*;22;düşük (0);-;hacim zayıf;72,55;77,91;;27.08.2026
433;KOTON;İZLE;*;22;düşük (0);-;hacim zayıf;12,99;13,37;;27.08.2026
434;YEOTK;İZLE;*;22;düşük (10);-;dağıtım 4 gün, hacim zayıf;35,7;40,86;;27.08.2026
435;SODSN;İZLE;*;22;düşük (6);-;dağıtım 3 gün, hacim zayıf;7,56;7,13;;27.08.2026
436;LMKDC;İZLE;*;22;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;24,22;22,85;;27.08.2026
437;KATMR;İZLE;*;22;düşük (0);-;hacim zayıf;2,12;2,32;;27.08.2026
438;MAALT;İZLE;*;22;düşük (0);-;hacim zayıf;1000;1067,78;;27.08.2026
439;MHRGY;İZLE;*;22;düşük (0);-;hacim zayıf;3,36;3,63;;27.08.2026
440;MEDTR;İZLE;*;22;düşük (0);osilatör 5/6;hacim zayıf;25,76;26,93;;27.08.2026
441;TMSN;İZLE;*;22;düşük (0);-;Supertrend aşağı;75,95;81,05;;27.08.2026
442;MGROS;İZLE;*;22;düşük (0);-;hacim zayıf;563;611,26;;27.08.2026
443;CCOLA;İZLE;*;21;düşük (6);-;dağıtım 3 gün, hacim zayıf;77,5;86,79;;27.08.2026
444;VAKKO;İZLE;*;21;düşük (0);-;Supertrend aşağı;68,1;72,32;;27.08.2026
445;SILVR;İZLE;*;21;düşük (8);-;momentum sönümü, hacim zayıf;2,26;2,42;;27.08.2026
446;MERIT;İZLE;*;21;düşük (0);-;hacim zayıf;15,79;17,16;;27.08.2026
447;YESIL;İZLE;*;21;düşük (0);-;hacim zayıf;1,21;1,30;;27.08.2026
448;ADESE;İZLE;*;21;düşük (0);-;hacim zayıf;0,86;0,93;;27.08.2026
449;CANTE;İZLE;*;21;düşük (0);-;hacim zayıf;1,21;1,28;;27.08.2026
450;CLEBI;İZLE;*;21;düşük (0);-;hacim zayıf;1484;1553,35;;27.08.2026
451;FROTO;İZLE;*;21;düşük (0);-;Supertrend aşağı;78,45;82,71;;27.08.2026
452;ULUSE;İZLE;*;21;düşük (0);-;Supertrend aşağı;255;308,60;;27.08.2026
453;AKYHO;İZLE;*;21;düşük (0);-;hacim zayıf;2,23;2,43;;27.08.2026
454;HEDEF;İZLE;*;21;düşük (10);-;dağıtım 4 gün;104;161,80;;27.08.2026
455;AYCES;İZLE;*;20;düşük (14);-;dağıtım 3 gün, momentum sönümü, hacim zayıf;449;489,81;;27.08.2026
456;ALFAS;İZLE;*;20;düşük (0);-;hacim zayıf;41,8;43,63;;27.08.2026
457;BSOKE;İZLE;*;20;düşük (10);-;dağıtım 4 gün;30,58;34,45;;27.08.2026
458;GRTHO;İZLE;*;20;düşük (0);-;hacim zayıf;222,3;242,88;;27.08.2026
459;BVSAN;İZLE;*;20;düşük (0);-;hacim zayıf;104,3;113,53;;27.08.2026
460;BTCIM;İZLE;*;20;düşük (6);-;dağıtım 3 gün;4,57;5,06;;27.08.2026
461;MEGMT;İZLE;*;20;düşük (6);-;dağıtım 3 gün;47,56;58,98;;27.08.2026
462;BARMA;İZLE;*;20;düşük (0);-;hacim zayıf;9,26;13,08;;27.08.2026
463;VESTL;İZLE;*;20;düşük (6);-;dağıtım 3 gün;22,28;24,54;;27.08.2026
464;GOODY;İZLE;*;20;düşük (0);-;hacim zayıf;2,61;2,60;;27.08.2026
465;IZENR;İZLE;*;20;düşük (0);-;hacim zayıf;8,32;9,24;;27.08.2026
466;EGEPO;İZLE;*;20;düşük (0);-;hacim zayıf;16,27;18,45;;27.08.2026
467;OSTIM;İZLE;*;20;düşük (0);-;hacim zayıf;1,61;1,71;;27.08.2026
468;ATEKS;İZLE;*;20;düşük (6);-;dağıtım 3 gün;95;113,26;;27.08.2026
469;SKBNK;İZLE;*;19;düşük (0);-;hacim zayıf;6,29;7,36;;27.08.2026
470;GSDHO;İZLE;*;19;düşük (10);-;dağıtım 4 gün, hacim zayıf;4,85;5,32;;27.08.2026
471;BMSCH;İZLE;*;19;düşük (0);-;Supertrend aşağı;11,25;12,77;;27.08.2026
472;VKING;İZLE;*;19;düşük (6);-;dağıtım 3 gün;22,14;23,94;;27.08.2026
473;MEKAG;İZLE;*;19;düşük (0);-;hacim zayıf;3,04;3,17;;27.08.2026
474;KSTUR;İZLE;*;19;düşük (0);-;Supertrend aşağı;2395;2520,17;;27.08.2026
475;AEFES;İZLE;*;19;düşük (0);-;Supertrend aşağı;18,53;20,55;;27.08.2026
476;LUKSK;İZLE;*;19;düşük (0);-;Supertrend aşağı;85,25;95,03;;27.08.2026
477;PAMEL;İZLE;*;19;düşük (6);-;dağıtım 3 gün, hacim zayıf;77,45;73,17;;27.08.2026
478;TUREX;İZLE;*;19;düşük (0);-;hacim zayıf;6,6;7,06;;27.08.2026
479;SEGYO;İZLE;*;19;düşük (0);-;Supertrend aşağı;3,77;4,09;;27.08.2026
480;ORCAY;İZLE;*;19;düşük (0);-;Supertrend aşağı;3,47;3,95;;27.08.2026
481;AGROT;İZLE;*;19;düşük (0);-;Supertrend aşağı;2,11;2,61;;27.08.2026
482;TUKAS;İZLE;*;19;düşük (6);-;dağıtım 3 gün, hacim zayıf;2,02;2,12;;27.08.2026
483;AGHOL;İZLE;*;18;orta (28);-;uyumsuzluk 2/5, dağıtım 3 gün;30,26;33,48;;27.08.2026
484;SUMAS;İZLE;*;18;düşük (0);-;Supertrend aşağı;268,25;291,52;;27.08.2026
485;PRKAB;İZLE;*;18;düşük (20);-;uyumsuzluk 1/5, dağıtım 4 gün;31,96;35,49;;27.08.2026
486;LINK;İZLE;*;18;orta (28);-;uyumsuzluk 2/5, dağıtım 3 gün;5,66;6,22;;27.08.2026
487;KAREL;İZLE;*;18;düşük (0);-;hacim zayıf;8,8;8,58;;27.08.2026
488;ALKIM;İZLE;*;18;düşük (0);-;hacim zayıf;15,76;17,14;;27.08.2026
489;ZOREN;İZLE;*;18;düşük (0);-;hacim zayıf;2,29;2,42;;27.08.2026
490;AKGRT;İZLE;*;18;düşük (10);-;dağıtım 4 gün;6,23;6,56;;27.08.2026
491;IDGYO;İZLE;*;17;düşük (0);-;hacim zayıf;3,08;3,62;;27.08.2026
492;ALCAR;İZLE;*;17;düşük (0);-;hacim zayıf;701,5;761,69;;27.08.2026
493;CASA;İZLE;*;17;düşük (10);-;dağıtım 4 gün;68;72,08;;27.08.2026
494;CMENT;İZLE;*;17;düşük (6);-;dağıtım 3 gün;260;277,23;;27.08.2026
495;AVHOL;İZLE;*;17;düşük (0);-;hacim zayıf;36,22;39,31;;27.08.2026
496;QNBTR;İZLE;*;17;düşük (0);-;hacim zayıf;190,2;199,98;;27.08.2026
497;FORMT;İZLE;*;17;düşük (0);-;hacim zayıf;1,69;1,83;;27.08.2026
498;TRILC;İZLE;*;17;düşük (0);-;Supertrend aşağı;1,12;1,19;;27.08.2026
499;FZLGY;İZLE;*;17;düşük (0);-;hacim zayıf;10,05;11,88;;27.08.2026
500;KONKA;İZLE;*;17;yüksek (42);-;uyumsuzluk 3/5, dağıtım 4 gün;11,34;12,57;;27.08.2026
501;ATLAS;İZLE;*;17;düşük (0);-;Supertrend aşağı;6,38;7,17;;27.08.2026
502;IHYAY;İZLE;*;17;orta (28);-;uyumsuzluk 2/5, dağıtım 3 gün, hacim zayıf;1,22;1,34;;27.08.2026
503;VRGYO;İZLE;*;17;düşük (6);-;dağıtım 3 gün, hacim zayıf;1,79;1,86;;27.08.2026
504;ERCB;İZLE;*;17;düşük (0);-;hacim zayıf;46,64;51,41;;27.08.2026
505;EKIZ;İZLE;*;17;düşük (6);-;dağıtım 3 gün;60,45;65,21;;27.08.2026
506;ODAS;İZLE;*;16;düşük (6);-;dağıtım 3 gün, hacim zayıf;7,05;7,86;;27.08.2026
507;YBTAS;İZLE;*;16;düşük (6);-;dağıtım 3 gün;14;15,26;;27.08.2026
508;LKMNH;İZLE;*;16;düşük (0);-;hacim zayıf;13,61;14,65;;27.08.2026
509;SAMAT;İZLE;*;16;düşük (0);-;hacim zayıf;5,39;6,00;;27.08.2026
510;OYAYO;İZLE;*;16;düşük (6);-;dağıtım 3 gün, hacim zayıf;42,68;41,73;;27.08.2026
511;ARZUM;İZLE;*;16;düşük (0);-;hacim zayıf;1,62;1,83;;27.08.2026
512;SISE;İZLE;*;16;düşük (0);-;hacim zayıf;40,04;42,02;;27.08.2026
513;KFEIN;İZLE;*;16;düşük (6);-;dağıtım 3 gün;8,24;9,10;;27.08.2026
514;MOPAS;İZLE;*;16;düşük (0);-;Supertrend aşağı;27,94;30,04;;27.08.2026
515;KONTR;İZLE;*;16;düşük (10);-;dağıtım 4 gün;3,73;4,17;;27.08.2026
516;ENTRA;İZLE;*;15;düşük (6);-;dağıtım 3 gün, hacim zayıf;4,46;4,44;;27.08.2026
517;ERBOS;İZLE;*;15;düşük (0);-;Supertrend aşağı;151,8;164,48;;27.08.2026
518;SDTTR;İZLE;*;15;düşük (0);-;Supertrend aşağı;24,4;133,32;;27.08.2026
519;INTEK;İZLE;*;15;düşük (0);-;hacim zayıf;246;275,95;;27.08.2026
520;ORMA;İZLE;*;15;düşük (6);-;dağıtım 3 gün, hacim zayıf;158;153,19;;27.08.2026
521;KRTEK;İZLE;*;15;düşük (6);-;dağıtım 3 gün, hacim zayıf;5,33;5,18;;27.08.2026
522;KTSKR;İZLE;*;15;düşük (0);-;hacim zayıf;83,4;92,94;;27.08.2026
523;GWIND;İZLE;*;15;düşük (0);-;hacim zayıf;23,22;24,71;;27.08.2026
524;HEKTS;İZLE;*;15;düşük (6);-;dağıtım 3 gün, hacim zayıf;2,84;3,10;;27.08.2026
525;DOGUB;İZLE;*;15;düşük (6);-;dağıtım 3 gün;69,05;85,12;;27.08.2026
526;AKSA;İZLE;*;14;düşük (10);-;dağıtım 4 gün, hacim zayıf;10,95;12,02;;27.08.2026
527;ULUFA;İZLE;*;14;düşük (0);-;hacim zayıf;1,67;1,85;;27.08.2026
528;EUHOL;İZLE;*;14;düşük (0);-;hacim zayıf;10,6;12,26;;27.08.2026
529;KRSTL;İZLE;*;14;düşük (16);-;uyumsuzluk 1/5, dağıtım 3 gün, hacim zayıf;9,42;10,06;;27.08.2026
530;ELITE;İZLE;*;14;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;27,7;30,13;;27.08.2026
531;DARDL;İZLE;*;14;düşük (0);-;hacim zayıf;1,66;1,81;;27.08.2026
532;OYLUM;İZLE;*;14;düşük (0);-;hacim zayıf;7,28;7,99;;27.08.2026
533;NATEN;İZLE;*;14;düşük (0);-;hacim zayıf;5,55;6,03;;27.08.2026
534;BORLS;İZLE;*;14;düşük (6);-;dağıtım 3 gün, hacim zayıf;4,5;5,27;;27.08.2026
535;QNBFK;İZLE;*;14;düşük (10);-;dağıtım 4 gün, hacim zayıf;42,02;46,75;;27.08.2026
536;KIMMR;İZLE;*;14;düşük (0);-;hacim zayıf;13,63;14,74;;27.08.2026
537;ATAGY;İZLE;*;14;düşük (6);-;dağıtım 3 gün, hacim zayıf;10,24;11,08;;27.08.2026
538;KRVGD;İZLE;*;14;düşük (10);-;dağıtım 4 gün;2,28;2,50;;27.08.2026
539;IMASM;İZLE;*;13;orta (40);-;uyumsuzluk 4/5, hacim zayıf;2,34;2,66;;27.08.2026
540;KZBGY;İZLE;*;13;düşük (0);-;hacim zayıf;1,98;2,17;;27.08.2026
541;MERKO;İZLE;*;13;düşük (6);-;dağıtım 3 gün, hacim zayıf;1,35;1,45;;27.08.2026
542;ALCTL;İZLE;*;13;düşük (20);-;uyumsuzluk 1/5, dağıtım 4 gün;120,3;144,34;;27.08.2026
543;YKSLN;İZLE;*;13;düşük (0);-;hacim zayıf;2,8;3,06;;27.08.2026
544;OSMEN;İZLE;*;13;orta (28);-;uyumsuzluk 2/5, dağıtım 3 gün, hacim zayıf;7,69;8,88;;27.08.2026
545;ALVES;İZLE;*;13;düşük (0);-;hacim zayıf;1,75;2,05;;27.08.2026
546;BALAT;İZLE;*;13;düşük (0);-;hacim zayıf;69;74,53;;27.08.2026
547;BALSU;İZLE;*;13;düşük (0);-;hacim zayıf;10,75;13,06;;27.08.2026
548;REEDR;İZLE;*;12;düşük (0);-;hacim zayıf;5,98;6,49;;27.08.2026
549;TEZOL;İZLE;*;12;düşük (0);-;hacim zayıf;9,67;11,11;;27.08.2026
550;AYEN;İZLE;*;12;düşük (0);-;hacim zayıf;31,26;35,51;;27.08.2026
551;MIATK;İZLE;*;12;düşük (0);-;hacim zayıf;29,78;33,63;;27.08.2026
552;GZNMI;İZLE;*;12;düşük (6);-;dağıtım 3 gün;56,4;65,91;;27.08.2026
553;MSGYO;İZLE;*;12;düşük (16);-;uyumsuzluk 1/5, dağıtım 3 gün, hacim zayıf;5,7;6,21;;27.08.2026
554;TATEN;İZLE;*;12;düşük (0);-;hacim zayıf;8,85;10,72;;27.08.2026
555;RTALB;İZLE;*;12;düşük (0);-;hacim zayıf;2,9;3,14;;27.08.2026
556;SEKFK;İZLE;*;12;düşük (10);-;dağıtım 4 gün, hacim zayıf;4,48;5,01;;27.08.2026
557;GLBMD;İZLE;*;12;düşük (0);-;hacim zayıf;11,83;13,35;;27.08.2026
558;DGGYO;İZLE;*;12;düşük (0);-;hacim zayıf;33,12;37,81;;27.08.2026
559;PENGD;İZLE;*;11;düşük (0);-;hacim zayıf;9,11;10,01;;27.08.2026
560;USAK;İZLE;*;11;düşük (0);-;hacim zayıf;1,24;1,36;;27.08.2026
561;DCTTR;İZLE;*;10;düşük (0);-;hacim zayıf;6,96;8,41;;27.08.2026
562;LRSHO;İZLE;*;10;orta (38);-;uyumsuzluk 3/5, dağıtım 3 gün, hacim zayıf;2,53;2,91;;27.08.2026
563;VSNMD;İZLE;*;10;düşük (10);-;dağıtım 5 gün, hacim zayıf;46,38;51,31;;27.08.2026
564;YUNSA;İZLE;*;10;düşük (6);-;dağıtım 3 gün, hacim zayıf;8,29;9,00;;27.08.2026
565;BAKAB;İZLE;*;10;düşük (6);-;dağıtım 3 gün, hacim zayıf;40,04;45,96;;27.08.2026
566;CRDFA;İZLE;*;10;orta (22);-;uyumsuzluk 2/5, hacim zayıf;26,08;31,71;;27.08.2026
567;SEYKM;İZLE;*;9;düşük (6);-;dağıtım 3 gün;4,54;5,11;;27.08.2026
568;LIDER;İZLE;*;9;düşük (6);-;dağıtım 3 gün;32,4;46,95;;27.08.2026
569;OTTO;İZLE;*;9;orta (32);-;uyumsuzluk 2/5, dağıtım 4 gün;154,7;177,62;;27.08.2026
570;YONGA;İZLE;*;9;düşük (0);-;Supertrend aşağı;45,9;49,27;;27.08.2026
571;AZTEK;İZLE;*;7;düşük (10);-;dağıtım 4 gün, hacim zayıf;3,85;4,43;;27.08.2026
572;LYDHO;İZLE;*;7;düşük (10);-;dağıtım 4 gün, hacim zayıf;162,8;182,57;;27.08.2026
573;LYDYE;İZLE;*;7;yüksek (50);-;uyumsuzluk 4/5, dağıtım 4 gün, hacim zayıf;12422,5;13799,73;;27.08.2026
574;MMCAS;İZLE;*;7;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;50,5;57,77;;27.08.2026
575;YATAS;İZLE;*;7;düşük (0);-;hacim zayıf;31,12;34,18;;27.08.2026
576;SAFKR;İZLE;*;7;düşük (10);-;uyumsuzluk 1/5, hacim zayıf;18,3;20,81;;27.08.2026
577;DOAS;İZLE;*;7;orta (22);-;uyumsuzluk 2/5, hacim zayıf;166,6;180,07;;27.08.2026
578;EMKEL;İZLE;*;7;düşük (10);-;dağıtım 4 gün, hacim zayıf;15,2;17,24;;27.08.2026
579;SURGY;İZLE;*;6;düşük (0);-;hacim zayıf;33,12;41,22;;27.08.2026
580;BULGS;İZLE;*;6;orta (38);-;uyumsuzluk 3/5, dağıtım 3 gün, hacim zayıf;32,22;35,80;;27.08.2026
581;MERCN;İZLE;*;6;düşük (6);-;dağıtım 3 gün, hacim zayıf;18,3;22,10;;27.08.2026
582;GOKNR;İZLE;*;6;düşük (0);-;hacim zayıf;17,6;20,33;;27.08.2026
583;KLRHO;İZLE;*;6;düşük (0);-;hacim zayıf;65;77,24;;27.08.2026
584;HUBVC;İZLE;*;5;düşük (6);-;dağıtım 3 gün, hacim zayıf;2,46;2,77;;27.08.2026
585;VESBE;İZLE;*;5;düşük (0);-;hacim zayıf;5,28;5,71;;27.08.2026
