hisse;durum;yeni_sinyal;konfluans;trend_35;momentum_30;hacim_35;risk;uyumsuzluk;rejim;adx;rsi;mfi;supertrend;goreli_guc;usd_trend;haftalik_trend;hacim_orani;ema50_uzaklik_atr;dagitim_gun;kapanis;degisim%;islem_hacmi_tl;st_cizgisi;osc_macd;osc_rsi;osc_adx;osc_momentum;osc_atr;osc_wavetrend;osc_stochrsi;osc_sharpe;osc_al_sayisi;tarih
AKSA;izle;;54,3;22,0;18,9;13,4;0;0;zayif;25,4;51,0;56,4;yukari;zayif;zayif;asagi;0,84;-0,26;1;11,39;0,44;183370594;10,52;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;11.09.2026
ISMEN;izle;;54,3;14,0;24,6;15,6;0;0;zayif;27,4;55,8;71,6;yukari;guclu;yukselis;asagi;0,38;0,54;2;35,68;-0,56;107963862;32,52;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;11.09.2026
FORTE;izle;;54,2;24,0;18,2;12,0;10;1;guclu trend;22,3;47,7;39,1;asagi;zayif;zayif;yukari;0,37;0,15;2;115,1;-2,62;86926398;130,93;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;AL;AL;NOTR;3;11.09.2026
ISBTR;izle;;54,2;25,3;10,3;18,5;32;3;zayif;10,9;44,5;56,7;yukari;zayif;zayif;yukari;0,85;-0,37;1;490000;-2,00;1960000;482449,90;SAT;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;SAT;NOTR;0;11.09.2026
HKTM;izle;;54,0;24,0;22,0;8,0;16;1;zayif;50,4;48,5;25,2;yukari;guclu;yukselis;yukari;0,19;0,10;3;12,69;0,79;42477009;12,25;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;1;11.09.2026
DOCO;izle;;53,4;29,2;11,1;13,1;22;2;zayif;15,0;43,5;31,3;yukari;zayif;zayif;yukari;0,51;-0,35;2;11132,5;-0,76;21129485;10942,74;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;11.09.2026
NIBAS;izle;;53,1;19,1;27,6;6,5;18;1;zayif;27,6;54,8;59,1;yukari;guclu;yukselis;asagi;0,61;0,46;1;4,42;-2,86;91677810;3,94;AL;POZITIF;AL;POZITIF;AZALIYOR;SAT;SAT;NOTR;4;11.09.2026
ARDYZ;izle;;52,4;22,4;20,8;9,2;0;0;guclu trend;34,5;46,1;37,3;asagi;guclu;yukselis;yukari;0,41;0,50;2;80,45;-0,31;178740270;94,26;SAT;NEGATIF;SAT;NEGATIF;AZALIYOR;SAT;SAT;NOTR;0;11.09.2026
CANTE;izle;;52,4;15,0;25,4;11,9;0;0;zayif;35,2;55,4;61,3;yukari;guclu;yukselis;asagi;0,70;0,32;1;1,32;-2,22;343815249;1,23;AL;POZITIF;AL;POZITIF;ARTIYOR;SAT;SAT;UCUZ (AL);4;11.09.2026
TRGYO;izle;;51,6;21,7;15,8;14,1;6;0;zayif;17,4;48,7;53,6;yukari;zayif;zayif;yukari;0,56;-0,31;3;94,5;-0,26;72125235;91,22;SAT;NEGATIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;2;11.09.2026
IHGZT;izle;;50,9;6,8;24,1;20,1;0;0;zayif;29,4;60,8;76,5;asagi;zayif;yukselis;asagi;2,53;0,50;1;1,25;5,93;62373095;1,26;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;UCUZ (AL);6;11.09.2026
TCKRC;izle;;50,7;21,9;10,8;18,0;0;0;guclu trend;25,9;42,1;30,8;asagi;zayif;zayif;yukari;1,37;-0,77;2;141;3,68;532000755;157,71;SAT;NEGATIF;SAT;NEGATIF;ARTIYOR;SAT;AL;NOTR;1;11.09.2026
ARMGD;izle;;50,6;20,8;8,9;20,9;28;2;zayif;17,8;41,4;58,2;asagi;zayif;zayif;yukari;0,97;-0,69;3;178;-6,81;229560548;213,15;SAT;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;SAT;NOTR;0;11.09.2026
CMBTN;izle;;49,7;5,7;24,5;19,6;6;0;zayif;26,7;59,4;62,3;asagi;zayif;yukselis;asagi;3,00;0,76;3;1620;4,92;107161380;1649,89;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;UCUZ (AL);6;11.09.2026
ALGYO;izle;;49,5;10,0;25,2;14,3;32;3;zayif;17,1;57,3;55,9;yukari;guclu;yukselis;asagi;1,06;-0,32;0;3,8;2,43;98314854;3,35;AL;POZITIF;NOTR;NEGATIF;AZALIYOR;AL;AL;NOTR;4;11.09.2026
USHOL;izle;;49,5;13,7;9,8;26,0;40;4;zayif;16,9;40,5;51,0;asagi;zayif;zayif;yukari;1,47;-1,00;0;74,8;1,84;57307048;90,30;SAT;NEGATIF;NOTR;NEGATIF;ARTIYOR;SAT;AL;NOTR;1;11.09.2026
TCELL;izle;;49,4;5,3;21,1;23,0;0;0;zayif;22,4;54,8;53,9;asagi;zayif;zayif;asagi;1,38;0,02;1;103,7;2,07;5065043366;105,37;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;NOTR;6;11.09.2026
KAYSE;izle;;49,4;14,9;21,2;13,3;8;0;zayif;29,6;51,0;51,3;yukari;zayif;zayif;asagi;0,38;-0,29;0;4,06;-0,25;18912126;3,85;AL;POZITIF;AL;NEGATIF;AZALIYOR;SAT;SAT;NOTR;3;11.09.2026
BIZIM;izle;;49,2;13,6;23,0;12,5;16;1;zayif;26,5;54,4;49,7;yukari;zayif;zayif;asagi;0,82;0,23;3;25,12;-1,57;6870647;23,23;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;SAT;NOTR;5;11.09.2026
BMSCH;izle;;49,2;15,0;16,2;18,0;0;0;zayif;30,1;52,2;62,8;yukari;zayif;zayif;asagi;4,59;-1,43;2;11,6;3,76;108669020;10,06;AL;POZITIF;AL;POZITIF;ARTIYOR;AL;AL;UCUZ (AL);6;11.09.2026
BFREN;izle;;48,9;4,5;20,2;24,1;0;0;zayif;23,6;50,7;60,0;asagi;zayif;zayif;asagi;2,14;-0,41;2;128,8;0,16;50959334;134,63;AL;POZITIF;AL;NEGATIF;ARTIYOR;AL;AL;UCUZ (AL);5;11.09.2026
DOKTA;izle;;48,8;13,6;24,3;11,0;10;1;zayif;24,3;56,4;50,6;yukari;guclu;yukselis;asagi;0,46;0,36;1;23,44;0,60;9648888;21,43;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;AL;NOTR;6;11.09.2026
BINBN;izle;;48,7;19,8;15,9;13,0;0;0;zayif;24,1;47,9;29,3;yukari;zayif;zayif;asagi;0,41;-0,21;2;176;-0,34;24530528;165,95;SAT;NEGATIF;AL;NEGATIF;AZALIYOR;AL;AL;NOTR;3;11.09.2026
SERNT;izle;;48,7;10,8;19,8;18,0;6;0;zayif;19,3;53,2;52,5;yukari;zayif;zayif;asagi;1,36;-0,31;3;8,3;-1,19;47330924;7,61;AL;POZITIF;NOTR;POZITIF;AZALIYOR;AL;SAT;NOTR;4;11.09.2026
KRTEK;izle;;48,4;10,5;18,7;19,3;6;0;zayif;18,4;55,2;46,1;yukari;zayif;zayif;asagi;2,35;-0,34;3;5,8;2,11;13028070;4,98;AL;POZITIF;NOTR;POZITIF;ARTIYOR;AL;AL;UCUZ (AL);5;11.09.2026
BRKVY;izle;;48,0;20,0;16,9;11,1;0;0;zayif;34,3;49,0;64,9;yukari;zayif;yukselis;asagi;0,47;-0,17;1;82,95;0,18;25739883;79,73;SAT;NEGATIF;AL;NEGATIF;ARTIYOR;SAT;SAT;NOTR;1;11.09.2026
CUSAN;izle;;47,6;8,3;23,2;16,0;0;0;zayif;21,3;53,1;65,9;asagi;zayif;zayif;yukari;0,40;0,32;1;25;0,24;10642700;27,24;AL;POZITIF;AL;POZITIF;AZALIYOR;AL;SAT;NOTR;5;11.09.2026
